claim_id,location,claim,type,impact,citation,experiment,evidence,status,note
C-001,"Resumen; Resultados; Conclusión","GFS supera en promedio al individual seleccionado internamente en las seis configuraciones DTD/FMD/CUReT.",empirical,HIGH,,EXP-CONFIRMATORY-CORE,"results/confirmatory/paired_comparisons.csv",ALIGNED,"No implica victoria en cada partición."
C-002,"Métodos; Resultados","El bloque principal contiene 54 condiciones, 216 evaluaciones y 5.400 controles aleatorios.",empirical,HIGH,,EXP-CONFIRMATORY-CORE,"results/confirmatory/nested_fold_results.csv; results/confirmatory/random_subset_results.csv",ALIGNED,"Conteo por claves externas."
C-003,"Resultados; Discusión","GFS y top-k registran 25 victorias cada uno y cuatro empates en el bloque principal.",empirical,HIGH,,EXP-TOPK-CONTROL,"results/topk_individual_control/paired_gfs_vs_topk.csv",ALIGNED,"Top-k comparte el presupuesto k de GFS."
C-004,"Datasets","Outex oficial contiene 1.360 BMP RGB, 68 clases balanceadas y un split 680/680.",mixed,HIGH,ojala2002outex,EXP-OUTEX13-OFFICIAL,"results/extensions/outex13_official1360/sample_manifests/Outex13Official1360.csv; sample audit",ALIGNED,"Único Outex utilizado."
C-005,"Estado del arte; Resultados","Las implementaciones publicadas de RGB Pixel N-grams reportan 0,963 y 0,953 en Outex13 con SVM.",citation,HIGH,paiva2023rgb,EXP-OUTEX13-OFFICIAL-NGRAM,"paper source; results reproduction",SUPPORTED,"Valores de la tabla del antecedente."
C-006,"Resultados","La reproducción obtiene 0,963235 y 0,952941 de exactitud.",empirical,HIGH,,EXP-OUTEX13-OFFICIAL-NGRAM,"results/extensions/rgb_pixel_ngrams_outex13_official/results.csv",ALIGNED,"Coincidencia exacta al redondear."
C-007,"Resumen; Resultados; Conclusión","N-grama + 20 bloques alcanza 0,969118 de exactitud y 0,968649 de macro-F1.",empirical,HIGH,,EXP-OUTEX13-OFFICIAL-NGRAM,"results/extensions/rgb_pixel_ngrams_outex13_official/results.csv; predictions",ALIGNED,"659 de 680 aciertos."
C-008,"Resumen; Discusión; Conclusión","La mejora de cuatro aciertos no establece superioridad estadística.",empirical,HIGH,,EXP-OUTEX13-OFFICIAL-NGRAM,"bootstrap CI; exact McNemar",ALIGNED,"IC95 % incluye cero; p=0,584665."
C-009,"Métodos; Limitaciones","Una única partición oficial de Outex no sustenta inferencia entre splits.",methodological,HIGH,,EXP-OUTEX13-OFFICIAL-GENERAL,"src/analyze_confirmatory_results.py; test_confirmatory_analysis.py",ALIGNED,"Se omiten CI y Wilcoxon split-level para n=1."
C-010,"Discusión; Limitaciones","Los tiempos informados excluyen extracción y búsqueda completa.",methodological,MEDIUM,,EXP-CONFIRMATORY-CORE,"results/confirmatory/cost_summary.csv",ALIGNED,"Solo ajuste del clasificador."
C-011,"Resultados; Discusión; Conclusión","En Outex oficial, la concatenación completa supera a GFS con ambos clasificadores.",empirical,HIGH,,EXP-OUTEX13-OFFICIAL-GENERAL,"results/extensions/outex13_official1360/nested_fold_results.csv",ALIGNED,"Deltas completa-GFS: 0,014629 SVM y 0,011833 ResMLP."
C-012,"Resultados; Conclusión","GFS y top-k registran 26 victorias cada uno y cuatro empates en 56 condiciones.",empirical,HIGH,,EXP-TOPK-CONTROL,"results/topk_individual_control/paired_gfs_vs_topk.csv",ALIGNED,"Incluye las dos condiciones oficiales de Outex."
