row_id,label,group,source_path,source_sha256,official_split,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10
0,banded,ca958de57af9c727648de2e9d5d9e923ef86116ea4edac481fbc8b8b2d15f87b,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0002.jpg,ca958de57af9c727648de2e9d5d9e923ef86116ea4edac481fbc8b8b2d15f87b,1:test|2:val|3:test|4:val|5:test|6:train|7:train|8:test|9:train|10:train,test,val,test,val,test,train,train,test,train,train
1,banded,4766af97ae83e11ca76ac5c80e54168ac0437abb1bb9105aa481f1184daec55b,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0004.jpg,4766af97ae83e11ca76ac5c80e54168ac0437abb1bb9105aa481f1184daec55b,1:test|2:test|3:val|4:val|5:train|6:val|7:val|8:train|9:val|10:train,test,test,val,val,train,val,val,train,val,train
2,banded,9185e525161e9677f505e4be9967354d27add8beb4810c6912b37689783a9b6a,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0005.jpg,9185e525161e9677f505e4be9967354d27add8beb4810c6912b37689783a9b6a,1:train|2:val|3:test|4:val|5:train|6:train|7:test|8:test|9:val|10:train,train,val,test,val,train,train,test,test,val,train
3,banded,f255cf86f61c1d5c53e241b9b4a60b7e15d446831c1306c673668f99eb8a455b,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0006.jpg,f255cf86f61c1d5c53e241b9b4a60b7e15d446831c1306c673668f99eb8a455b,1:val|2:val|3:test|4:test|5:train|6:test|7:val|8:val|9:test|10:val,val,val,test,test,train,test,val,val,test,val
4,banded,a0d39e146f2f37e67f04a17b82add4892c2cc10c076731552a49c86ed8608efb,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0008.jpg,a0d39e146f2f37e67f04a17b82add4892c2cc10c076731552a49c86ed8608efb,1:test|2:test|3:val|4:val|5:train|6:train|7:test|8:test|9:train|10:val,test,test,val,val,train,train,test,test,train,val
5,banded,e40960b6a74d4a36dd7c6a1e45ac3411a11c998b349418612ec585f6f7dd9653,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0009.jpg,e40960b6a74d4a36dd7c6a1e45ac3411a11c998b349418612ec585f6f7dd9653,1:val|2:test|3:train|4:train|5:test|6:train|7:val|8:val|9:test|10:val,val,test,train,train,test,train,val,val,test,val
6,banded,774e02e07d7086fd60a15f82e70569bcb7770ce354c44590ff8a3f0b2082e0b8,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0010.jpg,774e02e07d7086fd60a15f82e70569bcb7770ce354c44590ff8a3f0b2082e0b8,1:val|2:val|3:test|4:train|5:val|6:test|7:test|8:test|9:test|10:test,val,val,test,train,val,test,test,test,test,test
7,banded,744ad594231d097208558111d1f7b887d9a4fb8fce7f0beb5347876937cb3fce,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0011.jpg,744ad594231d097208558111d1f7b887d9a4fb8fce7f0beb5347876937cb3fce,1:train|2:val|3:train|4:val|5:test|6:val|7:train|8:test|9:train|10:test,train,val,train,val,test,val,train,test,train,test
8,banded,a875822c1d22854b25a6482cf2c295c23a629ee4aa4aa095ceaecb96f12cf4c1,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0012.jpg,a875822c1d22854b25a6482cf2c295c23a629ee4aa4aa095ceaecb96f12cf4c1,1:val|2:test|3:train|4:test|5:test|6:train|7:train|8:test|9:val|10:test,val,test,train,test,test,train,train,test,val,test
9,banded,7ef2f209790d8168f22a6ace8985e7245717955b055d54c64e1bc47d3d4e358d,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0013.jpg,7ef2f209790d8168f22a6ace8985e7245717955b055d54c64e1bc47d3d4e358d,1:train|2:test|3:train|4:val|5:train|6:test|7:val|8:train|9:train|10:train,train,test,train,val,train,test,val,train,train,train
10,banded,8721f09b3d539a6c6abb2dba5788c4a03a49af5cc4b085a271b818e35968494d,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0016.jpg,8721f09b3d539a6c6abb2dba5788c4a03a49af5cc4b085a271b818e35968494d,1:val|2:train|3:val|4:val|5:train|6:train|7:train|8:train|9:train|10:test,val,train,val,val,train,train,train,train,train,test
11,banded,0b76932ab450106f98c3da4b91893adc0636dac5dcbe0c10a20ee2fd5b766103,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0019.jpg,0b76932ab450106f98c3da4b91893adc0636dac5dcbe0c10a20ee2fd5b766103,1:train|2:train|3:train|4:train|5:train|6:train|7:train|8:test|9:val|10:val,train,train,train,train,train,train,train,test,val,val
12,banded,38a5f6a1e1241df2705862cd31407beb9220234e611b6dd50fffc9addaecb7fd,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0021.jpg,38a5f6a1e1241df2705862cd31407beb9220234e611b6dd50fffc9addaecb7fd,1:train|2:val|3:test|4:val|5:test|6:test|7:train|8:val|9:test|10:val,train,val,test,val,test,test,train,val,test,val
13,banded,6368145700962ca2c7a997193d2b6ffa9d8c6f0346c21efcef712bbcbcbfb574,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0022.jpg,6368145700962ca2c7a997193d2b6ffa9d8c6f0346c21efcef712bbcbcbfb574,1:train|2:test|3:val|4:test|5:test|6:val|7:val|8:test|9:train|10:val,train,test,val,test,test,val,val,test,train,val
14,banded,c99ec7655add66c9ab1a4c35e226bd8a11ba0920b1d7255392274f262467998b,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0023.jpg,c99ec7655add66c9ab1a4c35e226bd8a11ba0920b1d7255392274f262467998b,1:train|2:val|3:train|4:val|5:test|6:train|7:train|8:test|9:test|10:test,train,val,train,val,test,train,train,test,test,test
15,banded,14e7443a2a3d70bb54aa0bb62ddd25a512eed2a741a0d18b19676d2b1d5bd85c,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0024.jpg,14e7443a2a3d70bb54aa0bb62ddd25a512eed2a741a0d18b19676d2b1d5bd85c,1:val|2:test|3:train|4:train|5:val|6:val|7:test|8:val|9:val|10:val,val,test,train,train,val,val,test,val,val,val
